nikkud,transliteration,word
אִפּוּל,ipul,אפול
אָפּוֹלוֹגֶטִיקָה,apologetika,אפולוגטיקה
אֲפוּנָה,afuna,אפונה
אֶפּוֹנִים,eponim,אפונים
אֶפּוֹס,epos,אפוס
אִפּוּק,ipuk,אפוק
אַפּוֹקַלִיפְּסָה,apokalipsa,אפוקליפסה
אִפּוּר,ipur,אפור
אַפּוֹתֵקָאִי,apotekayi,אפותקאי
אַפְטֶר,after,אפטר
אַפְטֶר,after,אפטר
שֵׁיְב,shave,שיב
אֹפִי,ofi,אפי
אֶפִּי,epi,אפי
אֶפִּיגוֹן,epigon,אפיגון
אֶפִּיגוֹנִיוּת,epigoniyut,אפיגוניות
אֶפִּיגְרַפְיָה,epigrafya,אפיגרפיה
אֶפִּידֶמְיוֹלוֹגְיָה,epidemyologya,אפידמיולוגיה
אֶפִּידֶרְמִיס,apidermis,אפידרמיס
אֶפִּיזוֹדָה,epizoda,אפיזודה
אֶפִּיטָף,epitaf,אפיטף
אָפִיל,afil,אפיל
אֶפִּילוֹג,epilog,אפילוג
אֶפִּילֶפְּסְיָה,epilepsyah,אפילפסיה
אֶפִּילַצְיָה,epilatsyah,אפילציה
אֶפִּינֶפְרִין,epinefrin,אפינפרין
אֶפִּיסְטֵזָה,epistezah,אפיסטזה
אֶפִּיסְקוֹפּ,episkop,אפיסקופ
אַפִּיפְיוֹר,apifyor,אפיפיור
אֶפִּיפִיט,efifit,אפיפיט
אֲפִיפִית,afifit,אפיפית
אֲפִיצוּת,afitsut,אפיצות
אָפִיק,afik,אפיק
נְתוֹנִים,netunim,נתונים
אֲפִיקוֹמָן,afikoman,אפיקומן
אֶפִּיקוֹנְטִינֶנְטָלִי,epikontinentali,אפיקונטיננטלי
אֶפִּיקוֹרוֹס,epikoros,אפיקורוס
אֶפִּיתֶל,epitel,אפיתל
אֹפֶל,ofel,אפל
אָפֵל,afel,אפל
אֲפִלּוּ,afilu,אפלו
אַפְּלָטוֹנִי,aplatoni,אפלטוני
אַפְלָיָה,aflaya,אפליה
אַפְּלִיקַצְיָה,aplikatsya,אפליקציה
אֵפֵמֵרָה,efemerah,אפמרה
אֹפֶן,ofen,אפן
אֶפֶס,efes,אפס
אֶפֶס,efes,אפס
מְאֻפָּס,me'upas,מאפס
אֶפֶס,efes,אפס
מֻּחְלָט,mukhlat,מחלט
אַפְּסִידָה,apsidah,אפסידה
אֶפַע,efa,אפע
אֶפְעֶה,ef'e,אפעה
אֹפֶק,ofek,אפק
אֵפֶקְט,efekt,אפקט
אֶפֶקְט,efekt,אפקט
הַחֲמָמָה,hakhamama,החממה
אֲפֵר,afer,אפר
אֵפֶר,efer,אפר
אַפָּר,apar,אפר
אֲפָר,afar,אפר
אָפֹר,afor,אפר
אַפְרוֹדִיזְיָאק,afrodizyak,אפרודיזיאק
אֶפְרוֹחַ,efroakh,אפרוח
אַפְרוֹטְרוֹפִּי,afrotropi,אפרוטרופי
אַפְּרוֹפּוֹ,apropo,אפרופו
אַפְרוּרִי,afruri,אפרורי
אַפְרוּרִיּוּת,afruriyut,אפרוריות
אַפְרוּרִית,afrurit,אפרורית
אַפְרוּרִית,afrurit,אפרורית
אַפַּרְטְהַיְד,a''parthaid,אפרטהיד
אַפִּרְיוֹן,apiryon,אפריון
אָפֶּרִיטִיף,apritif,אפריטיף
אַפְּרִיל,april,אפריל
אֶפְרַיִם,ephraim,אפרים
אַפְרִיקָאנס,afrikans,אפריקאנס
אַפְרִיקָה,afrika,אפריקה
אֲפַרְכֶּסֶת,afarkeset,אפרכסת
אֲפַרְסְמוֹן,afarsemon,אפרסמון
אֲפַרְסְמוֹן,afarsemon,אפרסמון
אֲפַרְסֵק,afarsek,אפרסק
אֲפַרְפַּר,afarpar,אפרפר
אֲפַרְשְׁזִיף,afarshezif,אפרשזיף
אֶפְרָת,efrat,אפרת
אִפְשׁוּט,ifshut,אפשוט
אֶצְבַּע,etsba,אצבע
אֶצְבַּע,etzba',אצבע
מְשֻׁלֶשֶׁת,meshuleshet,משלשת
אֶצְבַּע,etsba,אצבע
צְרֵדָה,tsreda,צרדה
אֶצְבָּעוֹן,etsba'on,אצבעון
אַצָּה,atsa,אצה
אַצְוָה,atsva,אצוה
אִצְטַבָּה,itstaba,אצטבה
אִצְטַגְנִין,itstagnin,אצטגנין
אִצְטַדְיוֹן,itstadion,אצטדיון
אִצְטוּמְכָא,itstumkha,אצטומכא
אִצְטְוָנָה,itsvanah,אצטונה
אָצֵטִילְכוֹלִין,atsetilkholin,אצטילכולין
אִצְטְלָה,itstela,אצטלה
אִצְטְרֻבָּל,itstrubal,אצטרבל
אַצְטְרוֹלָב,atstrolav,אצטרולב
אָצִיל,atsil,אציל
אָצִיל,atsil,אציל
אַצִּיל,atsil,אציל
אֶצְעָדָה,ets'ada,אצעדה
אַק',ak,אק'
אֶקְדָּח,ekdakh,אקדח
אֶקְדַּח,ekdakh,אקדח
מַיִם,mayim,מים
אֶקְדַּח,ekdakh,אקדח
סִכּוֹת,sikot,סיכות
אֶקְדָּח,ekdakh,אקדח
תֻּפִּי,tupi,תפי
אֶקְדָּם,ekdam,אקדם
אָקָדֶמְיָה,akademya,אקדמיה
אַקּוֹ,ako,אקו
אַקְוָה,akva,אקוה
אוֹרָה,orah,אורה
אֶקוֹטוֹן,ekoton,אקוטון
אֶקוֹטוֹפּ,ekotop,אקוטופ
אֵקוֹטִיפּ,ekotip,אקוטיפ
אַקְוִיקְלוּדָה,akvikludah,אקויקלודה
אֶקוֹלוֹגִי,ekologi,אקולוגי
אֵקוֹלוֹגְיָה,ekologya,אקולוגיה
אֶקוּמֶנִי,ekumeni'''',אקומני
אַקְוָמָרִין,akvamarin,אקומרין
אָקוּסְטִיקָה,akustika,אקוסטיקה
אֶקוֹפֵמִינִיזְם,ekofeminizm,אקופמיניזם
אֵקוֹפֵנוֹטִיפּ,ekofenotip,אקופנוטיפ
אֵקוֹקְלִינָה,ekoklina,אקוקלינה
אָקוֹרְד,akord,אקורד
אָקּוֹרְדִּיּוֹן,akordiyon,אקורדיון
אָקוֹרוּס,akorus,אקורוס
אַקְוַרְיוּם,akvaryum,אקוריום
אַקְוָתְלוֹן,akvatlon,אקותלון
אֲקְטוּאַלְיָה,aktualya,אקטואליה
אֵקְטוֹדֶרְמָה,ektodermah,אקטודרמה
אֶקְטוֹזִיט,ektozit,אקטוזיט
אֶקְטוֹטְרוֹפִי,aktotrofi,אקטוטרופי
אַקְטִיבַצְיָה,aktivatsya,אקטיבציה
אַקְטִינוֹבִּיּוֹלוֹגְיָה,aktinobiologya,אקטינוביולוגיה
אַקְטִינְיוּם,aktinuim,אקטיניום
אִקְלוּם,iklum,אקלום
אַקְלִים,aklim,אקלים
אַקְלִים,aklim,אקלים
טְרוֹפִּי,tropi,טרופי
אַקְלִים,aklim,אקלים
יַמִּי,yami,ימי
אַקְלִים,aklim,אקלים
מְמֻזָּג,memuzag,ממזג
אֵקָלִיפְּטוּס,ekaliptus,אקליפטוס
אַקְנֶה,akne,אקנה
אֶקְסְהִיבִּיצְיוֹנִיזְם,ekshibitsionizm,אקסהיביציוניזם
אֶקְסוֹבִּיּוֹלוֹגְיָה,eksobiyologya,אקסוביולוגיה
אֶקְסוֹן,ekson,אקסון
אַקְסוֹן,akson,אקסון
אַקְסוֹנוֹמֶטְרְיָה,aksonometrya,אקסונומטריה
אֶקְסוֹסְפֵרָה,eksosferah,אקסוספרה
אֶקְסְטָזָה,ekstaza,אקסטזה
אֵקְסְטְרוֹבֶרְטִי,ekstroverti,אקסטרוברטי
אֶקְסְטְרֵמוֹפִיל,ekstremofil,אקסטרמופיל
אַקְסְיוֹמָה,aksyoma,אקסיומה
אֶקְסְפּוֹזִיצְיָה,expozitsya,אקספוזיציה
אַקְצָרָה,aktsarah,אקצרה
אַקְרָאִי,akrai,אקראי
אַקְרוֹבָּט,akrobat,אקרובט
אַקְרוֹמֵגָלְיָה,akromegalyah,אקרומגליה
אַקְרוֹפוֹבְּיָה,akrofobya,אקרופוביה
אַקְרוֹפּוֹלִיס,akropolis,אקרופוליס
אֶרְאֵל,erel,אראל
אֲרֻבָּה,aruba,ארבה
אַרְבָּה,arba,ארבה
אַרְבֶּה,arbe,ארבה
אֶרְבְּיוּם,arbium,ארביום
אַרְבַּע,arba,ארבע
אַרְבַּע,arba,ארבע
עַל,al,על
אַרְבַּע,arba,ארבע
אַרְבָּעוֹן,arbaon,ארבעון
אַרְבַּעַת,arbaat,ארבעת
הַמִּינִים,haminim,המינים
אֶרְג,erg,ארג
אֶרֶג,ereg,ארג
אַרְגּוֹן,argon,ארגון
אִרְגּוּן,irgun,ארגון
אַרְגָּז,argaz,ארגז
אַרְגַּז,argaz,ארגז
חוֹל,khol,חול
אַרְגָּז,argaz,ארגז
חֶרֶב,kherev,חרב
אַרְגָּמָן,argaman,ארגמן
אַרְגְּמֶנֶת,argmenet,ארגמנת
אַרְגֶּנְטוֹמֶטְרִיָּה,argentometriyah,ארגנטומטריה
אֻרְוָה,urva,ארוה
אָרוּז,aruz,ארוז
אֲרוּחָה,arukha,ארוחה
אֲרוּחַת,arukhat,ארוחת
קַח,kakh,קח
וָלֵךְ,velekh,ולך
אֶרוֹטִי,eroti,ארוטי
אֲרוּכָה,arukha,ארוכה
אָרוֹמָה,aroma,ארומה
אָרוֹמָטִי,aromati,ארומטי
אָרוֹמָתֶרַפְּיָה,aromaterapya,ארומתרפיה
אֲרוֹן,aron,ארון
אָרוֹנִיסְט,aronist,ארוניסט
אֵרוֹס,eros,ארוס
אָרוּס,arus,ארוס
אֵרוּסִין,erusin,ארוסין
אָרוּר,arur,ארור
אֹרֶז,orez,ארז
אַרְזָה,arza,ארזה
אֹרַח,orakh,ארח
אֹרַח,orakh,ארח
חַיִּים,khayim,חיים
אָרְחוֹ,orkho,ארחו
וְרִבְעוֹ,veriv'o,ורבעו
אָרְחוֹת,orkhot,ארחות
יַמִּים,yamim,ימים
אָרְחֵי,arkhey,ארחי
פָּרְחֵי,parkhey,פרחי
אַרְטִיק,artik,ארטיק
אַרְטִישׁוֹק,artishok,ארטישוק
אֲרִי,ari,ארי
אֲרִי,ari,ארי
יָם,yam,ים
אֲרִיאֵל,ariel,אריאל
אֲרִיג,arig,אריג
מִפְרָשִׂים,mifrasim,מפרשים
אַרְיֵה,aryeh,אריה
אֲרִינָמָל,arinamal,ארינמל
אֲרִיסוּת,arisut,אריסות
אָרֹךְ,arokh,ארך
אֹרֶךְ,orekh,ארך
אֹרֶךְ,orekh,ארך
בֵּין,beyn,בין
הַנִּצָּבִים,hanitsavim,הנצבים
אֹרֶךְ,orekh,ארך
גַּל,gal,גל
אֹרֶךְ,orekh,ארך
כּוֹלֵל,kolel,כולל
אֹרֶךְ,orekh,ארך
כְּלָלִי,klali,כללי
אֹרֶךְ,orekh,ארך
קַו,kav,קו
הַמַּיִם,hamayim,המים
אֹרֶךְ,orekh,ארך
קֶשֶׁר,kesher,קשר
אַרְכֵאוֹזוֹאוֹלוֹגְיָה,arkheozo'ologyah,ארכאוזואולוגיה
אַרְכֵאוֹלוֹג,arkeolog,ארכאולוג
אַרְכֵאוֹלוֹגְיָה,arkheologya,ארכאולוגיה
אַרְכֵאוֹן,arkheon,ארכאון
אַרְכָאִי,arkhayi,ארכאי
אַרְכָאִיקוֹן,arkhaikon,ארכאיקון
אַרְכֻּבָּה,arkuba,ארכבה
אַרְכּוֹף,arkof,ארכוף
אַרְכִיב,arkhiv,ארכיב
אַרְכִיוֹן,arkhiyon,ארכיון
אַרְכִיטֶקְטוּרָה,arkhitektura,ארכיטקטורה
אַרְכִיפֶּלָג,arkhipelag,ארכיפלג
אָרְכִּית,orkit,ארכית
אַרְכֵלוֹן,arkhelon,ארכלון
אָרַכְנוֹלוֹגְיָה,arakhnologya,ארכנולוגיה
אָרַכְנוֹפוֹבְּיָה,arakhnofobya,ארכנופוביה
אַרְכָנִי,archani,ארכני
אֲרָם,aram,ארם
אַרְמָגֶדוֹן,armagedon,ארמגדון
אַרְמָדִיל,armadil,ארמדיל
אַרְמוֹן,armon,ארמון
אֶרְמֵז,ermez,ארמז
אַרְמִיָּה,armiyah,ארמיה
אֲרָמִית,aramit,ארמית
אֹרֶן,oren,ארן
אַרְנָב,arnav,ארנב
אַרְנָבוֹן,arnavon,ארנבון
אַרְנֶבֶת,arnevet,ארנבת
אַרְנוֹנָה,arnona,ארנונה
אָרְנִיָּה,orniya,ארניה
אַרְנָק,arnak,ארנק
אַרְסֵנוֹפִּירִיט,arsenopirit,ארסנופיריט
אַרְסֵנִיד,arsenid,ארסניד
אַרְסֵנָל,arsenal,ארסנל
אֲרָעִי,arai,ארעי
אֶרֶץ,erets,ארץ
אֶרֶץ,erets,ארץ
הַמַּגָּף,hamagaf,המגף
אֶרֶץ,eretz,ארץ
זָבַת,zavat,זבת
חָלָב,khalav,חלב
וּדְבַשׁ,udevash,ודבש
אֶרֶץ,erets,ארץ
יִשְׂרָאֵל,yisrael,ישראל
אֶרֶץ,erets,ארץ
עִיר,'ir,עיר
אַרְצוֹת,artsot,ארצות
הַבְּרִית,habrit,הברית
אַרְצוֹת,artsot,ארצות
הַשְּׁפֵלָה,hashfela,השפלה
אַרְצִי,artzi,ארצי
אִשׁ,ish,אש
אֵשׁ,esh,אש
אֵשׁ,esh,אש
יְדִידוּתִית,yedidutit,ידידותית
אֵשׁ,esh,אש
צוֹלֶבֶת,tsolevet,צולבת
אֶשְׁגָּר,eshgar,אשגר
אֶשְׁגָרִית,eshgarit,אשגרית
אֶשֶׁד,eshed,אשד
אַשְׁדּוֹד,ashdod,אשדוד
אִשֶּׁה,ishe,אשה
אִשָּׁה,isha,אשה
אֲשׁוּר,ashur,אשור
אַשּׁוּר,ashur,אשור
אִשּׁוּר,ishur,אשור
אָשׁוּר,ashur,אשור
אֲשִׁישָה,ashisha,אשישה
אַשְׁכָּבָה,ashkava,אשכבה
אֶשְׁכּוֹל,eshkol,אשכול
אֶשְׁכּוֹלִית,eshkolit,אשכולית
אַשְׁכְּנַזִּי,ashkenazi,אשכנזי
אֶשְׁכָּר,eshkar,אשכר
אַשְׁכָּרָה,ashkara,אשכרה
אֵשֶׁל,eshel,אשל
אַשְׁלָג,ashlag,אשלג
אַשְׁלְגָן,ashlagan,אשלגן
אַשְׁלְגָן,ashlagan,אשלגן
חַנְקָתִי,khankati,חנקתי
אַשְׁלָיָה,ashlaya,אשליה
אַשְׁלָיָה,ashlaya,אשליה
אוֹפְּטִית,optit,אופטית
אָשֵׁם,a'shem,אשם
אַשְׁמַאי,ashmay,אשמאי
אַשְׁמְדַאי,ashmeday,אשמדאי
אַשְׁמָה,ashma,אשמה
אַשְׁמוּרָה,ashmura,אשמורה
אַשְׁמֹרֶת,ashmoret,אשמרת
אֶשְׁנַב,eshnav,אשנב
תּוֹתָח,totakh,תותח
אַשְׁפָּה,ashpa,אשפה
אַשְׁפָּה,ashpa,אשפה
אִשְׁפּוּז,ishpuz,אשפוז
אֻשְׁפִּיז,ushpiz,אשפיז
אֶשְׁפָּר,eshpar,אשפר
אִשְׁקוּקָה,ishkuka,אשקוקה
אִשְקוּקָן,ishkuken,אשקוקן
אֶשְׁקָף,eshkaf,אשקף
אָשֵׁר,asher,אשר
אֲשֶׁר,asher,אשר
אֹשֶׁר,osher,אשר
אַשְׁרַאי,ashray,אשראי
אַשְׁרָה,ashra,אשרה
אֲשֵׁרָה,ashera,אשרה
אַשְׁרֵי,ashrey,אשרי
אַשְׁרֵי,ashrey,אשרי
הַמַּאֲמִין,hama'amin,המאמין
אֵשֶׁת,eshet,אשת
אִישׁ,ish,איש
אֶשְׁתַנּוּר,eshtanur,אשתנור
אֶשְׁתָּקַד,eshtakad,אשתקד
אֶת,et,את
אַתְּ,at,את
אֵת,et,את
אֶת,et,את
אֶת,et,את
וָהֵב,vehav,והב
בְּסוּפָה,besufa,בסופה
אָתֵאִיזְם,ateizem,אתאיזם
אָתֵאִיסְט,ateist,אתאיסט
אֶתְגָּר,etgar,אתגר
אַתָּה,ata,אתה
אֵתוֹלוֹגְיָה,etologya,אתולוגיה
אָתוֹן,aton,אתון
אֵתוֹס,etos,אתוס
אִתְחוּל,itkhol,אתחול
אֶתִי,eti,אתי
אִתַּי,itay,אתי
אֶתִּי,eti,אתי
אַתְלֵט,atlet,אתלט
אַתְלֶטִיקָה,atletika,אתלטיקה
אֶתְמוֹל,etmol,אתמול
אֵתְנוֹאֵקוֹלוֹגְיָה,etnoekologyah,אתנואקולוגיה
אֵתְנוֹבּוֹטָנִיקָה,etnobotanikah,אתנובוטניקה
אֵתְנוֹבִּיוֹלוֹג,etnobiyolog,אתנוביולוג
אֵתְנוֹבִּיוֹלוֹגְיָה,etnobiyologyah,אתנוביולוגיה
אֶתְנוֹגְרַפְיָה,etnografya,אתנוגרפיה
אֵתְנוֹזוֹאוֹלוֹגְיָה,etnozo'ologyah,אתנוזואולוגיה
אֶתְנוֹלוֹגְיָה,etnologya,אתנולוגיה
אֵתְנוֹלֶקְט,etnolekt,אתנולקט
אֶתְנוֹמוּזִיקוֹלוֹגְיָה,etnomuzikologya,אתנומוזיקולוגיה
אֵתְנוֹפּוֹאֵטִיקָה,etnopoetikah,אתנופואטיקה
אֶתְנוֹצֶנְטְרִי,etnotsenteri,אתנוצנטרי
אֶתְנַחְתָּא,etnakhta,אתנחתא
אֶתְנַחְתָּה,etnakhta,אתנחתה
אֶתְנַרְךְ,etnarkh,אתנרך
אֲתָר,atar,אתר
אֲתָר,atar,אתר
אִינְטֶרְנֶט,internet,אינטרנט
אֶתְרוֹג,etrog,אתרוג
אִתְּרַע,itra,אתרע
מַזָּלוֹ,mazalo,מזלו
בָּא,ba,בא
בָּא,ba,בא
בַּיָּמִים,bayamim,בימים
בָּא,ba,בא
בְּמִשְׁפָּט,bemishpat,במשפט
עִמּוֹ,imo,עמו
בָּא,ba,בא
כְּשֶׁמֶן,kashemen,כשמן
בְּעַצְמוֹתָיו,beatsmotav,בעצמותיו
בְּאִבּוֹ,beibo,באבו
בָּאוּ,bau,באו
בָּנִים,banim,בנים
עַד,ad,עד
מַשְׁבֵּר,mashber,משבר
בָּאוֹבַּבּ,baubab,באובב
בָּאוּלִינְגּ,bawling,באולינג
בֵּאוּר,be'ur,באור
בַּאַס,ba'as,באס
בַּאְסָה,basa,באסה
בְּאֵר,be'er,באר
בְּאֵר,beer,באר
שֶׁבַע,sheva',שבע
בָּבָה,bava,בבה
בֻּבָּה,buba,בבה
בֻּבָּה,buba,בבה
מֶכָנִית,mekhanit,מכנית
בָּבוּאָה,bavu'a,בבואה
בַּבּוֹנָג,babunag,בבונג
בֻּבָּן,buban,בבן
בֻּבָּנַאי,bubanay,בבנאי
בְּבַקָּשָׁה,bevakasha,בבקשה
בְּבַת,bevat,בבת
אַחַת,akhat,אחת
בֻּבַּת,bubat,בבת
ווּדוּ,voodoo,וודו
בָּבַת,bavat,בבת
עַיִן,'ayin,עין
בֶּגֶד,beged,בגד
בֶּגֶד,beged,בגד
בֶּגֶד,beged,בגד
יָם,yam,ים
בֶּגֶד,beged,בגד
תַּחְתּוֹן,takhton,תחתון
בְּגָדוֹל,begadol,בגדול
בִּגּוּד,bigud,בגוד
בָּגָז',bagaj,בגז'
בָּגֶט,baget,בגט
בְּגִידָה,bgida,בגידה
בְּגִלּוּי,begilui,בגלוי
רֹאשׁ,rosh,ראש
בַּגְרוּת,bagrut,בגרות
בַּד,bad,בד
בַּד,bad,בד
בַּד,bad,בד
בַּד,bad,בד
בַּד,bad,בד
בְּבַד,bevad,בבד
בַּד,bad,בד
מִפְרָשִׂים,mifrasim,מפרשים
בַּדַּאי,baday,בדאי
בָּדָד,badad,בדד
בִּדּוּד,bidud,בדוד
חַשְׁמַלִּי,khashmali,חשמלי
בִּדּוּר,bedoor,בדור
בִּדּוּר,bidur,בדור
חִנּוּכִי,khinukhi,חנוכי
בְּדוּתָה,bduta,בדותה
בִּדְחִילוּ,bidkhilu,בדחילו
וּרְחִימוּ,urekhimu,ורחימו
בְּדִיד,bdid,בדיד
בְּדִידוּת,bdidut,בדידות
בִּדְיוֹן,bidyon,בדיון
בְּדִיחָה,bdikha,בדיחה
בְּדִיחָה,bdikha,בדיחה
פְּנִימִית,pnimit,פנימית
בְּדִיחָה,bdikha,בדיחה
פְּרָטִית,pratit,פרטית
בְּדִיל,bdil,בדיל
בְּדִימוֹס,bedimos,בדימוס
בְּדִיעֲבַד,bedi'avad,בדיעבד
בְּדִיקָתִיּוּת,bdikatiyut,בדיקתיות
בְּדָל,bdal,בדל
בְּדֹלַח,bdolakh,בדלח
בַּדְלָנוּת,badlanut,בדלנות
בִּדְמִי,bidmi,בדמי
יָמָיו,yamav,ימיו
בֶּדֶק,bedek,בדק
בֹּהוּ,bohu,בהו
בָּהִיר,bahir,בהיר
בְּהֵמָה,behema,בהמה
בְּהֵמוֹת,behemot,בהמות
בּוּגֶנְוִילְיָה,bugenvilya,בוגנויליה
בּוּד,bud,בוד
בּוֹדֵד,bodeed,בודד
בּוּדְקֶה,budke,בודקה
בּוֹזֹֹוֹן,bozon,בוזון
בּוֹט,bot,בוט
בּוּט,but,בוט
בּוּטָנוֹל,butanol,בוטנול
בּוֹטָנִיקָה,botanika,בוטניקה
בּוּיָאבֶּס,buyabes,בויאבס
בּוֹיָה,boya,בויה
בּוּכְהַלְטֶרְיָה,bokhaltria,בוכהלטריה
בּוּכְטָה,bukhta,בוכטה
בּוּכְיָר,buchyar,בוכיר
בּוּל,bul,בול
בּוּל,bul,בול
בּוּל,bul,בול
בּוּל,bul,בול
עֵץ,'ets,עץ
בּוּל,bul,בול
תָּמִים,tamim,תמים
בּוֹלֵט,bolet,בולט
בּוֹלֵעַ,bole'a,בולע
אֵשׁ,esh,אש
בוֹלשֵבִיק,bolshevik,בולשביק
בּוּלְשִׁיט,bulshit,בולשיט
בּוֹנֶה,bone,בונה
בּוֹנֶה,bone,בונה
אֳנִיוֹת,oniyot,אניות
בּוֹנְנוּת,bonenut,בוננות
בּוֹנְסַאי,bonsay,בונסאי
בּוּנְקֶר,bunker,בונקר
בּוֹס,bos,בוס
בּוּעָה,bua,בועה
בּוּעַת,buat,בועת
סַבּוֹן,sabon,סבון
בּוּץ,buts,בוץ
בּוּצִית,butsit,בוצית
בּוּקָנִיר,bukanir,בוקניר
בּוּקְסָה,buksa,בוקסה
בּוֹקַעַת,boka'at,בוקעת
קֶרַח,kerakh,קרח
בּוֹקֵר,boker,בוקר
בּוֹר,bor,בור
בּוּר,bur,בור
בּוֹר,bor,בור
בּוֹר,bor,בור
סְפִינָה,sfinah,ספינה
בּוּרְגָּנוּת,burganut,בורגנות
בּוֹרְדֶל,bordel,בורדל
בּוּרוּת,burut,בורות
בּוֹרְחָנוּת,borkhanut,בורחנות
בּוּרְסָה,bursa,בורסה
בּוּרְסִי,bursi,בורסי
בּוּרְסְקִי,burski,בורסקי
בּוּרְקָה,burka,בורקה
בּוּרֶקָס,borekas,בורקס
בּוֹרַקְס,boraks,בורקס
בּוּשָׁה,busha,בושה
בַּז,baz,בז
בַּז,baz,בז
מָצוּי,matsui,מצוי
בָּזוּקָה,bazuka,בזוקה
בִּזּוּר,bizur,בזור
בִּזָּיוֹן,bizayon,בזיון
בָּזִיךְ,bazikh,בזיך
בָּזִילִיקוּם,bazylykum,בזיליקום
בַּזְיָרוּת,bazyarut,בזירות
בִּזְעִיר,biz'ir,בזעיר
אַנְפִּין,anpin,אנפין
בָּזָק,bazak,בזק
בֶּזֶק,bezek,בזק
בָּחוּר,bakhur,בחור
בְּחִילָה,bkhila,בחילה
בְּחִינַת,bkhinat,בחינת
בַּגְרוּת,bagrut,בגרות
בָּחִיר,bakhir,בחיר
בְּחִירָה,bkhira,בחירה
בְּחִירוֹת,bkhirot,בחירות
בּׂחַן,bokhan,בחן
בַּחַן,bakhan,בחן
בְּחֵפֶץ,bekhefetz,בחפץ
לֵב,lev,לב
בִּטּוּחַ,bituakh,בטוח
בִּטּוּחַ,bituakh,בטוח
בְּרִיאוּת,briut,בריאות
בִּטּוּי,bitui,בטוי
מְשֻׂכָּל,mesukal,משכל
בִּטּוּן,bitun,בטון
בֶּטוֹן,beton,בטון
בִּטָּחוֹן,bitakhon,בטחון
בִּטָּחוֹן,bitakhon,בטחון
לְאֻמִּי,leumi,לאמי
בִּטָּחוֹן,bitakhon,בטחון
עַצְמִי,atsmi,עצמי
בִּטָּחוֹן,bitakhon,בטחון
שׁוֹטֵף,shotef,שוטף
בָּטָטָה,batata,בטטה
בָּטֵל,batel,בטל
בְּשִׁשִּׁים,beshishim,בששים
בָּטֶלְדְרֶס,bateldres,בטלדרס
בֹּטֶן,boten,בטן
בֶּטֶן,beten,בטן
בֶּטֶן,beten,בטן
הָאֳנִיָּה,ha'oniya,האניה
בַּי,bay,בי
בִּיאָה,bia,ביאה
בִּיב,biv,ביב
בִּיבְּלִיוֹגְרַפְיָה,bibliyografya,ביבליוגרפיה
בִּיבְּלִיּוֹמַנְיָה,bibliyomanyah,ביבליומניה
בִּיבְּלִיּוֹפִיל,bibliyofil,ביבליופיל
בִּיבְּלִיּוֹפִילְיָה,bibliyofilyah,ביבליופיליה
בֵּיבָר,beivar,ביבר
בֵּיְגָּלֶה,beigale,ביגלה
בִּידֶה,bida,בידה
בִּידוּד,bidud,בידוד
תֶּרְמִי,termi,תרמי
בִּיוֹגֶנֶזָה,biyogeneza,ביוגנזה
בִּיוֹגְרָפְיָה,biyoggrafya,ביוגרפיה
בִּיּוֹטִיפּ,biotip,ביוטיפ
בִּיוֹטֶכְנוֹלוֹגְיָה,biotekhnologya,ביוטכנולוגיה
בִּיוֹכִימִי,biokimi,ביוכימי
בִּיוֹכִימְיָה,biochemistry,ביוכימיה
בִּיוֹכִימְיָה,biokhimya,ביוכימיה
אַלְטֶרְנָטִיבִית,alternativit,אלטרנטיבית
בִּיוֹלוֹג,biyolog,ביולוג
בִּיּוֹלוֹגְיָה,biyologya,ביולוגיה
בִּיוֹלוֹגְיָה,biologya,ביולוגיה
מִבְנִית,mivnit,מבנית
בִּיוֹלוֹגְיָה,biologya,ביולוגיה
מוֹלֶקוּלָרִית,molekularit,מולקולרית
בִּיּוֹם,biyom,ביום
בִּיּוּם,biyum,ביום
בִּיוֹמִימִיקְרִי,biomimikari,ביומימיקרי
בִּיוֹמִינֶרָל,miomineral,ביומינרל
בִּיוֹמִינֶרָליזַצְיָה,biomineralizatsya,ביומינרליזציה
בִּיוֹמֶכָנִיקָה,biomekhanika,ביומכניקה
בִּיוֹנִיקָה,bionika,ביוניקה
בִּיוֹנָנוֹטֶכְנוֹלוֹגְיָה,bionanotekhnologya,ביוננוטכנולוגיה
בִּיוֹפּוֹלִימֶר,biopolymer,ביופולימר
בִּיוֹפִידְבֶּק,biofidback,ביופידבק
בִּיּוֹפִיזִיקָה,biofizika,ביופיזיקה
בִּיּוּץ,biuts,ביוץ
בִּיּוּת,biyut,ביות
בִּיז'וֹ,bijo,ביז'ו
בִּיזָרִי,bizari,ביזרי
בִּיט,bit,ביט
בִּילְהַרְצְיָה,bilhartsya,בילהרציה
בִּילְיַארְד,bilyard,ביליארד
בִּילִירוּבִּין,bilirubin,בילירובין
בִּימָה,bima,בימה
בֵּין,ben,בין
בֵּין,beyn,בין
אַרְבָּעָה,arbaa,ארבעה
קִירוֹת,kirot,קירות
בֵּין,bein,בין
הַשְּׁמָשׁוֹת,hashmashot,השמשות
בֵּין,beyn,בין
הָעַרְבַּיִם,'arbayim,ערבים
בִּינָה,bina,בינה
מְלָאכוּתִית,melachutit,מלאכותית
בֵּינוֹנִי,benoni,בינוני
בִּינָרִי,binari,בינרי
בֵּינַת,beynat,בינת
סִפּוּנִים,sipunim,ספונים
